日付,時刻,始値,高値,安値,終値,出来高,売買代金
2017-06-19,15:00,665.00,665.00,665.00,665.00,2800,1862000
2017-06-19,14:55,665.00,665.00,663.00,664.00,1600,1062600
2017-06-19,14:50,664.00,666.00,663.00,664.00,3100,2059400
2017-06-19,14:45,663.00,663.00,663.00,663.00,900,596700
2017-06-19,14:40,,,,,0,0
2017-06-19,14:35,663.00,663.00,663.00,663.00,200,132600
2017-06-19,14:30,662.00,663.00,662.00,663.00,5100,3380000
2017-06-19,14:25,,,,,0,0
2017-06-19,14:20,661.00,662.00,661.00,661.00,600,396700
2017-06-19,14:15,661.00,661.00,661.00,661.00,700,462700
2017-06-19,14:10,662.00,662.00,662.00,662.00,800,529600
2017-06-19,14:05,663.00,663.00,663.00,663.00,400,265200
2017-06-19,14:00,,,,,0,0
2017-06-19,13:55,665.00,667.00,664.00,664.00,4100,2728300
2017-06-19,13:50,664.00,665.00,664.00,665.00,200,132900
2017-06-19,13:45,665.00,665.00,665.00,665.00,100,66500
2017-06-19,13:40,,,,,0,0
2017-06-19,13:35,,,,,0,0
2017-06-19,13:30,662.00,666.00,662.00,666.00,1400,929400
2017-06-19,13:25,663.00,663.00,663.00,663.00,200,132600
2017-06-19,13:20,663.00,663.00,663.00,663.00,100,66300
2017-06-19,13:15,662.00,662.00,662.00,662.00,400,264800
2017-06-19,13:10,664.00,664.00,664.00,664.00,100,66400
2017-06-19,13:05,,,,,0,0
2017-06-19,13:00,664.00,664.00,664.00,664.00,100,66400
2017-06-19,12:55,664.00,664.00,664.00,664.00,100,66400
2017-06-19,12:50,662.00,664.00,662.00,664.00,4400,2919500
2017-06-19,12:45,,,,,0,0
2017-06-19,12:40,,,,,0,0
2017-06-19,12:35,,,,,0,0
2017-06-19,12:30,664.00,664.00,662.00,662.00,800,530400
2017-06-19,12:25,,,,,0,0
2017-06-19,12:20,,,,,0,0
2017-06-19,12:15,,,,,0,0
2017-06-19,12:10,,,,,0,0
2017-06-19,12:05,,,,,0,0
2017-06-19,12:00,,,,,0,0
2017-06-19,11:55,,,,,0,0
2017-06-19,11:50,,,,,0,0
2017-06-19,11:45,,,,,0,0
2017-06-19,11:40,,,,,0,0
2017-06-19,11:35,,,,,0,0
2017-06-19,11:30,,,,,0,0
2017-06-19,11:25,664.00,664.00,662.00,662.00,700,464400
2017-06-19,11:20,662.00,663.00,662.00,663.00,800,530000
2017-06-19,11:15,661.00,662.00,661.00,662.00,600,397100
2017-06-19,11:10,661.00,662.00,661.00,662.00,1000,661600
2017-06-19,11:05,,,,,0,0
2017-06-19,11:00,660.00,660.00,660.00,660.00,400,264000
2017-06-19,10:55,662.00,662.00,660.00,660.00,2800,1850200
2017-06-19,10:50,662.00,662.00,660.00,661.00,2100,1388200
2017-06-19,10:45,663.00,663.00,663.00,663.00,3100,2055300
2017-06-19,10:40,661.00,665.00,661.00,664.00,8200,5438300
2017-06-19,10:35,660.00,661.00,660.00,661.00,300,198100
2017-06-19,10:30,661.00,661.00,661.00,661.00,300,198300
2017-06-19,10:25,661.00,661.00,660.00,660.00,1300,859000
2017-06-19,10:20,661.00,661.00,660.00,660.00,400,264200
2017-06-19,10:15,660.00,661.00,659.00,660.00,1600,1055900
2017-06-19,10:10,659.00,659.00,659.00,659.00,600,395400
2017-06-19,10:05,658.00,658.00,658.00,658.00,400,263200
2017-06-19,10:00,657.00,657.00,657.00,657.00,200,131400
2017-06-19,09:55,,,,,0,0
2017-06-19,09:50,658.00,658.00,656.00,656.00,500,328800
2017-06-19,09:45,,,,,0,0
2017-06-19,09:40,,,,,0,0
2017-06-19,09:35,657.00,657.00,657.00,657.00,1300,854100
2017-06-19,09:30,,,,,0,0
2017-06-19,09:25,657.00,658.00,656.00,657.00,3000,1970700
2017-06-19,09:20,656.00,656.00,656.00,656.00,100,65600
2017-06-19,09:15,,,,,0,0
2017-06-19,09:10,655.00,656.00,655.00,656.00,1000,655200
2017-06-19,09:05,656.00,656.00,655.00,655.00,1100,721000
2017-06-19,09:00,660.00,660.00,657.00,657.00,2600,1713800
