日付,時刻,始値,高値,安値,終値,出来高,売買代金
2017-06-19,15:00,307.00,307.00,307.00,307.00,400,122800
2017-06-19,14:55,308.00,309.00,308.00,308.00,1800,554600
2017-06-19,14:50,309.00,309.00,309.00,309.00,200,61800
2017-06-19,14:45,,,,,0,0
2017-06-19,14:40,,,,,0,0
2017-06-19,14:35,308.00,308.00,308.00,308.00,2100,646800
2017-06-19,14:30,,,,,0,0
2017-06-19,14:25,,,,,0,0
2017-06-19,14:20,,,,,0,0
2017-06-19,14:15,308.00,308.00,308.00,308.00,2500,770000
2017-06-19,14:10,309.00,309.00,309.00,309.00,300,92700
2017-06-19,14:05,,,,,0,0
2017-06-19,14:00,309.00,309.00,309.00,309.00,100,30900
2017-06-19,13:55,,,,,0,0
2017-06-19,13:50,,,,,0,0
2017-06-19,13:45,,,,,0,0
2017-06-19,13:40,,,,,0,0
2017-06-19,13:35,,,,,0,0
2017-06-19,13:30,,,,,0,0
2017-06-19,13:25,,,,,0,0
2017-06-19,13:20,310.00,310.00,310.00,310.00,100,31000
2017-06-19,13:15,,,,,0,0
2017-06-19,13:10,310.00,310.00,310.00,310.00,100,31000
2017-06-19,13:05,,,,,0,0
2017-06-19,13:00,310.00,310.00,310.00,310.00,100,31000
2017-06-19,12:55,,,,,0,0
2017-06-19,12:50,310.00,311.00,310.00,311.00,700,217600
2017-06-19,12:45,,,,,0,0
2017-06-19,12:40,,,,,0,0
2017-06-19,12:35,,,,,0,0
2017-06-19,12:30,310.00,310.00,309.00,309.00,1100,340000
2017-06-19,12:25,,,,,0,0
2017-06-19,12:20,,,,,0,0
2017-06-19,12:15,,,,,0,0
2017-06-19,12:10,,,,,0,0
2017-06-19,12:05,,,,,0,0
2017-06-19,12:00,,,,,0,0
2017-06-19,11:55,,,,,0,0
2017-06-19,11:50,,,,,0,0
2017-06-19,11:45,,,,,0,0
2017-06-19,11:40,,,,,0,0
2017-06-19,11:35,,,,,0,0
2017-06-19,11:30,,,,,0,0
2017-06-19,11:25,,,,,0,0
2017-06-19,11:20,,,,,0,0
2017-06-19,11:15,312.00,312.00,312.00,312.00,100,31200
2017-06-19,11:10,,,,,0,0
2017-06-19,11:05,,,,,0,0
2017-06-19,11:00,,,,,0,0
2017-06-19,10:55,,,,,0,0
2017-06-19,10:50,,,,,0,0
2017-06-19,10:45,,,,,0,0
2017-06-19,10:40,309.00,312.00,309.00,312.00,200,62100
2017-06-19,10:35,309.00,309.00,308.00,308.00,800,246700
2017-06-19,10:30,,,,,0,0
2017-06-19,10:25,309.00,309.00,308.00,308.00,300,92500
2017-06-19,10:20,,,,,0,0
2017-06-19,10:15,309.00,309.00,309.00,309.00,100,30900
2017-06-19,10:10,309.00,309.00,309.00,309.00,400,123600
2017-06-19,10:05,,,,,0,0
2017-06-19,10:00,309.00,310.00,309.00,310.00,600,185600
2017-06-19,09:55,309.00,309.00,309.00,309.00,500,154500
2017-06-19,09:50,309.00,309.00,309.00,309.00,300,92700
2017-06-19,09:45,310.00,310.00,309.00,309.00,2500,772700
2017-06-19,09:40,312.00,312.00,309.00,309.00,3600,1115200
2017-06-19,09:35,,,,,0,0
2017-06-19,09:30,312.00,312.00,312.00,312.00,400,124800
2017-06-19,09:25,313.00,313.00,312.00,312.00,1800,562100
2017-06-19,09:20,,,,,0,0
2017-06-19,09:15,,,,,0,0
2017-06-19,09:10,,,,,0,0
2017-06-19,09:05,,,,,0,0
2017-06-19,09:00,312.00,316.00,312.00,316.00,2100,655600
