日付,時刻,始値,高値,安値,終値,出来高,売買代金
2017-06-19,15:00,2148.00,2148.00,2148.00,2148.00,7800,16754400
2017-06-19,14:55,2146.00,2151.00,2146.00,2148.00,6400,13754300
2017-06-19,14:50,2146.00,2149.00,2146.00,2147.00,5400,11597700
2017-06-19,14:45,2148.00,2148.00,2147.00,2148.00,2900,6228600
2017-06-19,14:40,2149.00,2149.00,2148.00,2148.00,1100,2362900
2017-06-19,14:35,2148.00,2149.00,2148.00,2149.00,500,1074100
2017-06-19,14:30,2146.00,2147.00,2146.00,2147.00,700,1502800
2017-06-19,14:25,2147.00,2147.00,2147.00,2147.00,900,1932300
2017-06-19,14:20,2144.00,2147.00,2144.00,2146.00,2600,5579000
2017-06-19,14:15,2145.00,2146.00,2145.00,2145.00,2500,5364400
2017-06-19,14:10,2145.00,2145.00,2145.00,2145.00,300,643500
2017-06-19,14:05,2145.00,2147.00,2145.00,2145.00,1700,3648100
2017-06-19,14:00,2147.00,2147.00,2145.00,2145.00,1400,3004100
2017-06-19,13:55,2148.00,2148.00,2148.00,2148.00,600,1288800
2017-06-19,13:50,2149.00,2149.00,2149.00,2149.00,900,1934100
2017-06-19,13:45,2149.00,2149.00,2148.00,2148.00,700,1504200
2017-06-19,13:40,2149.00,2149.00,2148.00,2149.00,1500,3223000
2017-06-19,13:35,2149.00,2150.00,2149.00,2150.00,1200,2579400
2017-06-19,13:30,2149.00,2150.00,2149.00,2150.00,1500,3224800
2017-06-19,13:25,2147.00,2147.00,2147.00,2147.00,400,858800
2017-06-19,13:20,2152.00,2152.00,2149.00,2149.00,2100,4516100
2017-06-19,13:15,2150.00,2152.00,2150.00,2152.00,1000,2151100
2017-06-19,13:10,2152.00,2152.00,2150.00,2150.00,1100,2365400
2017-06-19,13:05,2154.00,2154.00,2151.00,2151.00,1200,2582600
2017-06-19,13:00,2155.00,2155.00,2153.00,2153.00,400,861400
2017-06-19,12:55,2156.00,2156.00,2153.00,2153.00,1400,3016200
2017-06-19,12:50,2157.00,2157.00,2155.00,2155.00,1300,2802100
2017-06-19,12:45,2158.00,2159.00,2157.00,2157.00,2500,5395300
2017-06-19,12:40,2154.00,2158.00,2153.00,2158.00,4500,9704500
2017-06-19,12:35,2151.00,2154.00,2151.00,2154.00,900,1936700
2017-06-19,12:30,2149.00,2150.00,2148.00,2150.00,3200,6877900
2017-06-19,12:25,,,,,0,0
2017-06-19,12:20,,,,,0,0
2017-06-19,12:15,,,,,0,0
2017-06-19,12:10,,,,,0,0
2017-06-19,12:05,,,,,0,0
2017-06-19,12:00,,,,,0,0
2017-06-19,11:55,,,,,0,0
2017-06-19,11:50,,,,,0,0
2017-06-19,11:45,,,,,0,0
2017-06-19,11:40,,,,,0,0
2017-06-19,11:35,,,,,0,0
2017-06-19,11:30,,,,,0,0
2017-06-19,11:25,2150.00,2151.00,2149.00,2149.00,1200,2580400
2017-06-19,11:20,2149.00,2150.00,2148.00,2150.00,1200,2579300
2017-06-19,11:15,2148.00,2150.00,2148.00,2150.00,1600,3438500
2017-06-19,11:10,2147.00,2149.00,2147.00,2147.00,800,1718300
2017-06-19,11:05,2145.00,2148.00,2145.00,2148.00,1100,2360600
2017-06-19,11:00,2143.00,2146.00,2143.00,2145.00,1500,3217500
2017-06-19,10:55,2145.00,2145.00,2144.00,2144.00,600,1286800
2017-06-19,10:50,2146.00,2147.00,2146.00,2146.00,600,1287700
2017-06-19,10:45,2148.00,2148.00,2146.00,2146.00,800,1718200
2017-06-19,10:40,2146.00,2148.00,2146.00,2146.00,1900,4078200
2017-06-19,10:35,2145.00,2146.00,2144.00,2146.00,800,1716500
2017-06-19,10:30,2145.00,2145.00,2144.00,2144.00,500,1072400
2017-06-19,10:25,2143.00,2145.00,2143.00,2145.00,900,1929900
2017-06-19,10:20,2143.00,2144.00,2143.00,2143.00,1100,2357700
2017-06-19,10:15,2141.00,2143.00,2141.00,2143.00,1000,2141800
2017-06-19,10:10,2140.00,2140.00,2139.00,2139.00,900,1925500
2017-06-19,10:05,2142.00,2143.00,2140.00,2140.00,600,1284800
2017-06-19,10:00,2147.00,2147.00,2140.00,2143.00,3400,7287700
2017-06-19,09:55,2144.00,2146.00,2144.00,2146.00,800,1715900
2017-06-19,09:50,2143.00,2143.00,2141.00,2141.00,500,1071300
2017-06-19,09:45,2146.00,2146.00,2146.00,2146.00,200,429200
2017-06-19,09:40,,,,,0,0
2017-06-19,09:35,2142.00,2148.00,2142.00,2147.00,1300,2788700
2017-06-19,09:30,,,,,0,0
2017-06-19,09:25,2143.00,2144.00,2140.00,2140.00,2700,5783600
2017-06-19,09:20,2142.00,2142.00,2138.00,2142.00,800,1712200
2017-06-19,09:15,2139.00,2144.00,2139.00,2144.00,1700,3638400
2017-06-19,09:10,,,,,0,0
2017-06-19,09:05,2137.00,2138.00,2132.00,2138.00,1600,3417200
2017-06-19,09:00,2154.00,2154.00,2134.00,2136.00,2500,5354800
