日付,時刻,始値,高値,安値,終値,出来高,売買代金
2017-06-19,15:00,1214.00,1214.00,1214.00,1214.00,2000,2428000
2017-06-19,14:55,1215.00,1216.00,1215.00,1215.00,1300,1580200
2017-06-19,14:50,1215.00,1215.00,1215.00,1215.00,400,486000
2017-06-19,14:45,1215.00,1215.00,1215.00,1215.00,600,729000
2017-06-19,14:40,1214.00,1216.00,1214.00,1214.00,1100,1336400
2017-06-19,14:35,,,,,0,0
2017-06-19,14:30,1214.00,1214.00,1214.00,1214.00,100,121400
2017-06-19,14:25,1214.00,1214.00,1213.00,1214.00,900,1092400
2017-06-19,14:20,1213.00,1213.00,1213.00,1213.00,400,485200
2017-06-19,14:15,,,,,0,0
2017-06-19,14:10,,,,,0,0
2017-06-19,14:05,1214.00,1214.00,1214.00,1214.00,100,121400
2017-06-19,14:00,,,,,0,0
2017-06-19,13:55,,,,,0,0
2017-06-19,13:50,,,,,0,0
2017-06-19,13:45,,,,,0,0
2017-06-19,13:40,1215.00,1215.00,1215.00,1215.00,200,243000
2017-06-19,13:35,1215.00,1215.00,1215.00,1215.00,100,121500
2017-06-19,13:30,1216.00,1216.00,1215.00,1215.00,1000,1215700
2017-06-19,13:25,1215.00,1215.00,1215.00,1215.00,100,121500
2017-06-19,13:20,,,,,0,0
2017-06-19,13:15,1215.00,1216.00,1215.00,1216.00,500,607600
2017-06-19,13:10,1215.00,1215.00,1215.00,1215.00,100,121500
2017-06-19,13:05,1213.00,1214.00,1213.00,1214.00,200,242700
2017-06-19,13:00,1212.00,1212.00,1212.00,1212.00,200,242400
2017-06-19,12:55,1213.00,1213.00,1213.00,1213.00,100,121300
2017-06-19,12:50,1212.00,1212.00,1212.00,1212.00,100,121200
2017-06-19,12:45,,,,,0,0
2017-06-19,12:40,,,,,0,0
2017-06-19,12:35,1210.00,1210.00,1210.00,1210.00,200,242000
2017-06-19,12:30,1206.00,1206.00,1206.00,1206.00,1100,1326600
2017-06-19,12:25,,,,,0,0
2017-06-19,12:20,,,,,0,0
2017-06-19,12:15,,,,,0,0
2017-06-19,12:10,,,,,0,0
2017-06-19,12:05,,,,,0,0
2017-06-19,12:00,,,,,0,0
2017-06-19,11:55,,,,,0,0
2017-06-19,11:50,,,,,0,0
2017-06-19,11:45,,,,,0,0
2017-06-19,11:40,,,,,0,0
2017-06-19,11:35,,,,,0,0
2017-06-19,11:30,,,,,0,0
2017-06-19,11:25,1212.00,1214.00,1212.00,1212.00,1100,1334000
2017-06-19,11:20,1212.00,1212.00,1212.00,1212.00,400,484800
2017-06-19,11:15,1213.00,1213.00,1213.00,1213.00,100,121300
2017-06-19,11:10,1213.00,1213.00,1213.00,1213.00,100,121300
2017-06-19,11:05,1214.00,1214.00,1212.00,1213.00,500,606400
2017-06-19,11:00,,,,,0,0
2017-06-19,10:55,1213.00,1213.00,1213.00,1213.00,200,242600
2017-06-19,10:50,1213.00,1213.00,1212.00,1212.00,200,242500
2017-06-19,10:45,,,,,0,0
2017-06-19,10:40,,,,,0,0
2017-06-19,10:35,1213.00,1213.00,1213.00,1213.00,200,242600
2017-06-19,10:30,1213.00,1213.00,1212.00,1212.00,800,970100
2017-06-19,10:25,1214.00,1214.00,1214.00,1214.00,100,121400
2017-06-19,10:20,1214.00,1214.00,1214.00,1214.00,200,242800
2017-06-19,10:15,1212.00,1213.00,1212.00,1213.00,600,727300
2017-06-19,10:10,1217.00,1217.00,1211.00,1211.00,1700,2066700
2017-06-19,10:05,,,,,0,0
2017-06-19,10:00,,,,,0,0
2017-06-19,09:55,,,,,0,0
2017-06-19,09:50,1220.00,1220.00,1219.00,1219.00,200,243900
2017-06-19,09:45,1218.00,1221.00,1218.00,1221.00,300,365800
2017-06-19,09:40,,,,,0,0
2017-06-19,09:35,1216.00,1222.00,1216.00,1222.00,500,609400
2017-06-19,09:30,1214.00,1215.00,1214.00,1215.00,700,850400
2017-06-19,09:25,1218.00,1218.00,1218.00,1218.00,100,121800
2017-06-19,09:20,1219.00,1219.00,1219.00,1219.00,100,121900
2017-06-19,09:15,1224.00,1224.00,1220.00,1220.00,300,366800
2017-06-19,09:10,1220.00,1225.00,1220.00,1223.00,1400,1710800
2017-06-19,09:05,1213.00,1218.00,1213.00,1218.00,400,486300
2017-06-19,09:00,1220.00,1220.00,1215.00,1215.00,2700,3293000
