日付,時刻,始値,高値,安値,終値,出来高,売買代金
2017-06-19,15:00,925.00,925.00,925.00,925.00,400,370000
2017-06-19,14:55,920.00,920.00,920.00,920.00,100,92000
2017-06-19,14:50,925.00,925.00,922.00,922.00,300,276900
2017-06-19,14:45,925.00,926.00,924.00,926.00,500,462400
2017-06-19,14:40,924.00,925.00,924.00,925.00,900,832400
2017-06-19,14:35,,,,,0,0
2017-06-19,14:30,923.00,924.00,923.00,924.00,200,184700
2017-06-19,14:25,923.00,924.00,923.00,924.00,500,461900
2017-06-19,14:20,,,,,0,0
2017-06-19,14:15,,,,,0,0
2017-06-19,14:10,924.00,924.00,924.00,924.00,100,92400
2017-06-19,14:05,921.00,921.00,921.00,921.00,100,92100
2017-06-19,14:00,,,,,0,0
2017-06-19,13:55,,,,,0,0
2017-06-19,13:50,,,,,0,0
2017-06-19,13:45,921.00,921.00,921.00,921.00,100,92100
2017-06-19,13:40,,,,,0,0
2017-06-19,13:35,,,,,0,0
2017-06-19,13:30,,,,,0,0
2017-06-19,13:25,,,,,0,0
2017-06-19,13:20,,,,,0,0
2017-06-19,13:15,922.00,923.00,922.00,923.00,200,184500
2017-06-19,13:10,,,,,0,0
2017-06-19,13:05,919.00,921.00,919.00,921.00,400,367900
2017-06-19,13:00,919.00,919.00,919.00,919.00,200,183800
2017-06-19,12:55,,,,,0,0
2017-06-19,12:50,,,,,0,0
2017-06-19,12:45,919.00,919.00,919.00,919.00,100,91900
2017-06-19,12:40,923.00,923.00,922.00,922.00,600,553400
2017-06-19,12:35,,,,,0,0
2017-06-19,12:30,926.00,926.00,925.00,925.00,600,555500
2017-06-19,12:25,,,,,0,0
2017-06-19,12:20,,,,,0,0
2017-06-19,12:15,,,,,0,0
2017-06-19,12:10,,,,,0,0
2017-06-19,12:05,,,,,0,0
2017-06-19,12:00,,,,,0,0
2017-06-19,11:55,,,,,0,0
2017-06-19,11:50,,,,,0,0
2017-06-19,11:45,,,,,0,0
2017-06-19,11:40,,,,,0,0
2017-06-19,11:35,,,,,0,0
2017-06-19,11:30,,,,,0,0
2017-06-19,11:25,,,,,0,0
2017-06-19,11:20,,,,,0,0
2017-06-19,11:15,,,,,0,0
2017-06-19,11:10,925.00,925.00,925.00,925.00,100,92500
2017-06-19,11:05,,,,,0,0
2017-06-19,11:00,919.00,922.00,919.00,922.00,1300,1197000
2017-06-19,10:55,,,,,0,0
2017-06-19,10:50,,,,,0,0
2017-06-19,10:45,919.00,919.00,919.00,919.00,200,183800
2017-06-19,10:40,915.00,915.00,915.00,915.00,1300,1189500
2017-06-19,10:35,919.00,920.00,919.00,920.00,500,459600
2017-06-19,10:30,918.00,919.00,918.00,918.00,500,459100
2017-06-19,10:25,918.00,918.00,918.00,918.00,200,183600
2017-06-19,10:20,915.00,916.00,915.00,916.00,400,366100
2017-06-19,10:15,,,,,0,0
2017-06-19,10:10,918.00,918.00,918.00,918.00,100,91800
2017-06-19,10:05,914.00,918.00,914.00,915.00,1600,1465400
2017-06-19,10:00,,,,,0,0
2017-06-19,09:55,911.00,911.00,911.00,911.00,100,91100
2017-06-19,09:50,,,,,0,0
2017-06-19,09:45,908.00,911.00,907.00,911.00,1100,999700
2017-06-19,09:40,907.00,909.00,907.00,909.00,300,272400
2017-06-19,09:35,,,,,0,0
2017-06-19,09:30,,,,,0,0
2017-06-19,09:25,908.00,908.00,908.00,908.00,200,181600
2017-06-19,09:20,905.00,905.00,905.00,905.00,200,181000
2017-06-19,09:15,909.00,909.00,909.00,909.00,500,454500
2017-06-19,09:10,,,,,0,0
2017-06-19,09:05,907.00,910.00,907.00,910.00,2500,2273500
2017-06-19,09:00,905.00,905.00,905.00,905.00,2100,1900500
