日付,時刻,始値,高値,安値,終値,出来高,売買代金
2017-06-19,15:00,1427.00,1427.00,1427.00,1427.00,1900,2711300
2017-06-19,14:55,1428.00,1432.00,1428.00,1428.00,1400,2001400
2017-06-19,14:50,1428.00,1430.00,1428.00,1429.00,1000,1429300
2017-06-19,14:45,1428.00,1428.00,1427.00,1427.00,800,1142000
2017-06-19,14:40,,,,,0,0
2017-06-19,14:35,1428.00,1429.00,1428.00,1429.00,200,285700
2017-06-19,14:30,,,,,0,0
2017-06-19,14:25,1429.00,1429.00,1429.00,1429.00,100,142900
2017-06-19,14:20,1426.00,1428.00,1426.00,1428.00,500,713600
2017-06-19,14:15,1427.00,1427.00,1427.00,1427.00,100,142700
2017-06-19,14:10,,,,,0,0
2017-06-19,14:05,,,,,0,0
2017-06-19,14:00,1428.00,1428.00,1426.00,1426.00,900,1284500
2017-06-19,13:55,1430.00,1430.00,1430.00,1430.00,500,715000
2017-06-19,13:50,1431.00,1431.00,1430.00,1430.00,200,286100
2017-06-19,13:45,,,,,0,0
2017-06-19,13:40,,,,,0,0
2017-06-19,13:35,1431.00,1431.00,1431.00,1431.00,100,143100
2017-06-19,13:30,,,,,0,0
2017-06-19,13:25,1431.00,1431.00,1430.00,1430.00,1500,2145200
2017-06-19,13:20,,,,,0,0
2017-06-19,13:15,1433.00,1433.00,1433.00,1433.00,100,143300
2017-06-19,13:10,1433.00,1433.00,1433.00,1433.00,100,143300
2017-06-19,13:05,,,,,0,0
2017-06-19,13:00,,,,,0,0
2017-06-19,12:55,,,,,0,0
2017-06-19,12:50,1435.00,1435.00,1435.00,1435.00,400,574000
2017-06-19,12:45,,,,,0,0
2017-06-19,12:40,1439.00,1439.00,1435.00,1435.00,800,1150000
2017-06-19,12:35,1437.00,1439.00,1437.00,1439.00,600,863100
2017-06-19,12:30,1448.00,1448.00,1438.00,1438.00,1300,1878400
2017-06-19,12:25,,,,,0,0
2017-06-19,12:20,,,,,0,0
2017-06-19,12:15,,,,,0,0
2017-06-19,12:10,,,,,0,0
2017-06-19,12:05,,,,,0,0
2017-06-19,12:00,,,,,0,0
2017-06-19,11:55,,,,,0,0
2017-06-19,11:50,,,,,0,0
2017-06-19,11:45,,,,,0,0
2017-06-19,11:40,,,,,0,0
2017-06-19,11:35,,,,,0,0
2017-06-19,11:30,,,,,0,0
2017-06-19,11:25,,,,,0,0
2017-06-19,11:20,,,,,0,0
2017-06-19,11:15,1432.00,1432.00,1432.00,1432.00,200,286400
2017-06-19,11:10,1431.00,1431.00,1431.00,1431.00,200,286200
2017-06-19,11:05,1431.00,1431.00,1430.00,1430.00,300,429200
2017-06-19,11:00,1431.00,1433.00,1431.00,1433.00,500,715800
2017-06-19,10:55,,,,,0,0
2017-06-19,10:50,1431.00,1431.00,1431.00,1431.00,100,143100
2017-06-19,10:45,1433.00,1433.00,1433.00,1433.00,200,286600
2017-06-19,10:40,,,,,0,0
2017-06-19,10:35,,,,,0,0
2017-06-19,10:30,1434.00,1436.00,1434.00,1436.00,500,717400
2017-06-19,10:25,1433.00,1433.00,1433.00,1433.00,100,143300
2017-06-19,10:20,,,,,0,0
2017-06-19,10:15,,,,,0,0
2017-06-19,10:10,,,,,0,0
2017-06-19,10:05,1432.00,1432.00,1432.00,1432.00,100,143200
2017-06-19,10:00,1439.00,1439.00,1434.00,1434.00,1100,1579900
2017-06-19,09:55,1439.00,1439.00,1439.00,1439.00,100,143900
2017-06-19,09:50,1438.00,1440.00,1438.00,1440.00,200,287800
2017-06-19,09:45,,,,,0,0
2017-06-19,09:40,,,,,0,0
2017-06-19,09:35,1436.00,1436.00,1436.00,1436.00,200,287200
2017-06-19,09:30,1436.00,1436.00,1436.00,1436.00,100,143600
2017-06-19,09:25,1438.00,1440.00,1437.00,1437.00,1300,1869800
2017-06-19,09:20,1431.00,1431.00,1431.00,1431.00,400,572400
2017-06-19,09:15,,,,,0,0
2017-06-19,09:10,,,,,0,0
2017-06-19,09:05,1429.00,1429.00,1426.00,1428.00,1200,1712200
2017-06-19,09:00,1440.00,1440.00,1432.00,1433.00,3600,5178300
