日付,時刻,始値,高値,安値,終値,出来高,売買代金
2017-06-20,15:00,718.00,718.00,718.00,718.00,1000,718000
2017-06-20,14:55,728.00,728.00,720.00,720.00,7000,5062100
2017-06-20,14:50,730.00,732.00,728.00,730.00,2600,1895600
2017-06-20,14:45,725.00,733.00,725.00,730.00,3100,2260800
2017-06-20,14:40,723.00,726.00,723.00,726.00,1300,941900
2017-06-20,14:35,721.00,722.00,721.00,722.00,600,432700
2017-06-20,14:30,723.00,734.00,719.00,734.00,9100,6574400
2017-06-20,14:25,723.00,725.00,723.00,725.00,900,652100
2017-06-20,14:20,726.00,726.00,722.00,722.00,500,361400
2017-06-20,14:15,726.00,727.00,722.00,727.00,800,579200
2017-06-20,14:10,729.00,731.00,726.00,726.00,500,364300
2017-06-20,14:05,721.00,731.00,721.00,731.00,2600,1889800
2017-06-20,14:00,729.00,729.00,720.00,720.00,3600,2601000
2017-06-20,13:55,725.00,725.00,725.00,725.00,100,72500
2017-06-20,13:50,729.00,730.00,726.00,726.00,500,364400
2017-06-20,13:45,725.00,727.00,725.00,726.00,900,653200
2017-06-20,13:40,724.00,727.00,724.00,725.00,1600,1161300
2017-06-20,13:35,719.00,724.00,719.00,724.00,900,648500
2017-06-20,13:30,718.00,720.00,718.00,720.00,300,215600
2017-06-20,13:25,724.00,724.00,718.00,718.00,8700,6265800
2017-06-20,13:20,726.00,726.00,724.00,724.00,900,652300
2017-06-20,13:15,725.00,726.00,724.00,724.00,700,507500
2017-06-20,13:10,727.00,727.00,724.00,724.00,800,581000
2017-06-20,13:05,727.00,730.00,725.00,725.00,700,508900
2017-06-20,13:00,726.00,730.00,726.00,730.00,800,582600
2017-06-20,12:55,726.00,726.00,722.00,724.00,500,362300
2017-06-20,12:50,730.00,730.00,721.00,727.00,5300,3844000
2017-06-20,12:45,736.00,736.00,730.00,730.00,600,438600
2017-06-20,12:40,730.00,733.00,728.00,730.00,2500,1825100
2017-06-20,12:35,735.00,735.00,729.00,730.00,2900,2120900
2017-06-20,12:30,739.00,739.00,726.00,730.00,8300,6084000
2017-06-20,12:25,,,,,0,0
2017-06-20,12:20,,,,,0,0
2017-06-20,12:15,,,,,0,0
2017-06-20,12:10,,,,,0,0
2017-06-20,12:05,,,,,0,0
2017-06-20,12:00,,,,,0,0
2017-06-20,11:55,,,,,0,0
2017-06-20,11:50,,,,,0,0
2017-06-20,11:45,,,,,0,0
2017-06-20,11:40,,,,,0,0
2017-06-20,11:35,,,,,0,0
2017-06-20,11:30,735.00,735.00,735.00,735.00,400,294000
2017-06-20,11:25,744.00,744.00,735.00,736.00,1900,1401600
2017-06-20,11:20,740.00,745.00,740.00,745.00,1900,1410400
2017-06-20,11:15,737.00,755.00,728.00,755.00,11000,8143800
2017-06-20,11:10,755.00,755.00,734.00,737.00,14700,10979700
2017-06-20,11:05,761.00,761.00,756.00,758.00,3000,2278200
2017-06-20,11:00,749.00,779.00,740.00,768.00,18500,14039900
2017-06-20,10:55,735.00,760.00,735.00,749.00,34500,25870200
2017-06-20,10:50,725.00,738.00,725.00,734.00,5900,4313500
2017-06-20,10:45,727.00,729.00,721.00,721.00,2500,1811200
2017-06-20,10:40,728.00,730.00,727.00,727.00,2100,1531500
2017-06-20,10:35,727.00,727.00,727.00,727.00,400,290800
2017-06-20,10:30,722.00,725.00,721.00,725.00,2800,2023300
2017-06-20,10:25,727.00,727.00,721.00,721.00,7200,5214900
2017-06-20,10:20,734.00,735.00,727.00,727.00,2200,1610500
2017-06-20,10:15,727.00,735.00,725.00,733.00,3800,2768100
2017-06-20,10:10,727.00,730.00,726.00,726.00,2000,1458300
2017-06-20,10:05,734.00,734.00,726.00,728.00,6100,4444500
2017-06-20,10:00,740.00,740.00,733.00,733.00,1500,1105700
2017-06-20,09:55,735.00,742.00,730.00,742.00,6100,4481000
2017-06-20,09:50,735.00,744.00,732.00,738.00,9800,7241400
2017-06-20,09:45,729.00,735.00,728.00,735.00,1500,1098400
2017-06-20,09:40,735.00,737.00,726.00,734.00,7800,5704200
2017-06-20,09:35,725.00,736.00,723.00,732.00,4700,3442600
2017-06-20,09:30,723.00,730.00,719.00,725.00,12200,8859800
2017-06-20,09:25,718.00,722.00,716.00,722.00,6500,4678500
2017-06-20,09:20,723.00,726.00,713.00,718.00,12200,8754100
2017-06-20,09:15,723.00,732.00,719.00,723.00,15800,11447400
2017-06-20,09:10,737.00,740.00,715.00,720.00,44200,32009500
2017-06-20,09:05,740.00,743.00,721.00,740.00,73400,54187800
2017-06-20,09:00,,,,,0,0
