日付,時刻,始値,高値,安値,終値,出来高,売買代金
2017-06-20,15:00,468.00,468.00,468.00,468.00,300,140400
2017-06-20,14:55,470.00,471.00,470.00,471.00,200,94100
2017-06-20,14:50,470.00,470.00,470.00,470.00,100,47000
2017-06-20,14:45,471.00,471.00,471.00,471.00,100,47100
2017-06-20,14:40,,,,,0,0
2017-06-20,14:35,,,,,0,0
2017-06-20,14:30,,,,,0,0
2017-06-20,14:25,,,,,0,0
2017-06-20,14:20,471.00,471.00,471.00,471.00,100,47100
2017-06-20,14:15,471.00,471.00,471.00,471.00,100,47100
2017-06-20,14:10,470.00,470.00,470.00,470.00,100,47000
2017-06-20,14:05,,,,,0,0
2017-06-20,14:00,,,,,0,0
2017-06-20,13:55,,,,,0,0
2017-06-20,13:50,,,,,0,0
2017-06-20,13:45,,,,,0,0
2017-06-20,13:40,,,,,0,0
2017-06-20,13:35,469.00,469.00,469.00,469.00,100,46900
2017-06-20,13:30,467.00,467.00,467.00,467.00,800,373600
2017-06-20,13:25,467.00,467.00,467.00,467.00,300,140100
2017-06-20,13:20,,,,,0,0
2017-06-20,13:15,,,,,0,0
2017-06-20,13:10,469.00,469.00,468.00,468.00,600,280900
2017-06-20,13:05,,,,,0,0
2017-06-20,13:00,469.00,469.00,469.00,469.00,100,46900
2017-06-20,12:55,,,,,0,0
2017-06-20,12:50,470.00,470.00,470.00,470.00,300,141000
2017-06-20,12:45,,,,,0,0
2017-06-20,12:40,,,,,0,0
2017-06-20,12:35,,,,,0,0
2017-06-20,12:30,471.00,471.00,471.00,471.00,300,141300
2017-06-20,12:25,,,,,0,0
2017-06-20,12:20,,,,,0,0
2017-06-20,12:15,,,,,0,0
2017-06-20,12:10,,,,,0,0
2017-06-20,12:05,,,,,0,0
2017-06-20,12:00,,,,,0,0
2017-06-20,11:55,,,,,0,0
2017-06-20,11:50,,,,,0,0
2017-06-20,11:45,,,,,0,0
2017-06-20,11:40,,,,,0,0
2017-06-20,11:35,,,,,0,0
2017-06-20,11:30,,,,,0,0
2017-06-20,11:25,,,,,0,0
2017-06-20,11:20,473.00,473.00,473.00,473.00,100,47300
2017-06-20,11:15,,,,,0,0
2017-06-20,11:10,472.00,472.00,472.00,472.00,100,47200
2017-06-20,11:05,,,,,0,0
2017-06-20,11:00,,,,,0,0
2017-06-20,10:55,,,,,0,0
2017-06-20,10:50,,,,,0,0
2017-06-20,10:45,473.00,473.00,473.00,473.00,100,47300
2017-06-20,10:40,,,,,0,0
2017-06-20,10:35,474.00,474.00,474.00,474.00,100,47400
2017-06-20,10:30,,,,,0,0
2017-06-20,10:25,,,,,0,0
2017-06-20,10:20,,,,,0,0
2017-06-20,10:15,,,,,0,0
2017-06-20,10:10,,,,,0,0
2017-06-20,10:05,,,,,0,0
2017-06-20,10:00,473.00,473.00,473.00,473.00,200,94600
2017-06-20,09:55,,,,,0,0
2017-06-20,09:50,470.00,470.00,470.00,470.00,1100,517000
2017-06-20,09:45,471.00,471.00,471.00,471.00,300,141300
2017-06-20,09:40,471.00,471.00,471.00,471.00,100,47100
2017-06-20,09:35,471.00,471.00,471.00,471.00,300,141300
2017-06-20,09:30,473.00,473.00,471.00,471.00,600,283200
2017-06-20,09:25,475.00,477.00,474.00,474.00,1400,665000
2017-06-20,09:20,,,,,0,0
2017-06-20,09:15,476.00,476.00,476.00,476.00,400,190400
2017-06-20,09:10,476.00,476.00,476.00,476.00,700,333200
2017-06-20,09:05,475.00,475.00,475.00,475.00,200,95000
2017-06-20,09:00,478.00,478.00,475.00,475.00,5200,2484100
