日付,時刻,始値,高値,安値,終値,出来高,売買代金
2017-06-20,15:00,2235.00,2235.00,2235.00,2235.00,2900,6481500
2017-06-20,14:55,2240.00,2245.00,2237.00,2237.00,1600,3584200
2017-06-20,14:50,2238.00,2239.00,2236.00,2238.00,1000,2237800
2017-06-20,14:45,2235.00,2237.00,2235.00,2236.00,500,1117800
2017-06-20,14:40,,,,,0,0
2017-06-20,14:35,2239.00,2239.00,2237.00,2237.00,300,671300
2017-06-20,14:30,2241.00,2241.00,2241.00,2241.00,100,224100
2017-06-20,14:25,,,,,0,0
2017-06-20,14:20,2240.00,2240.00,2240.00,2240.00,200,448000
2017-06-20,14:15,2243.00,2243.00,2243.00,2243.00,100,224300
2017-06-20,14:10,,,,,0,0
2017-06-20,14:05,,,,,0,0
2017-06-20,14:00,,,,,0,0
2017-06-20,13:55,,,,,0,0
2017-06-20,13:50,,,,,0,0
2017-06-20,13:45,,,,,0,0
2017-06-20,13:40,,,,,0,0
2017-06-20,13:35,2240.00,2240.00,2240.00,2240.00,100,224000
2017-06-20,13:30,,,,,0,0
2017-06-20,13:25,,,,,0,0
2017-06-20,13:20,,,,,0,0
2017-06-20,13:15,,,,,0,0
2017-06-20,13:10,2250.00,2250.00,2250.00,2250.00,100,225000
2017-06-20,13:05,,,,,0,0
2017-06-20,13:00,,,,,0,0
2017-06-20,12:55,,,,,0,0
2017-06-20,12:50,,,,,0,0
2017-06-20,12:45,2248.00,2250.00,2248.00,2250.00,900,2024800
2017-06-20,12:40,2240.00,2240.00,2239.00,2239.00,200,447900
2017-06-20,12:35,2246.00,2251.00,2245.00,2245.00,2900,6522400
2017-06-20,12:30,2242.00,2247.00,2242.00,2247.00,1200,2693500
2017-06-20,12:25,,,,,0,0
2017-06-20,12:20,,,,,0,0
2017-06-20,12:15,,,,,0,0
2017-06-20,12:10,,,,,0,0
2017-06-20,12:05,,,,,0,0
2017-06-20,12:00,,,,,0,0
2017-06-20,11:55,,,,,0,0
2017-06-20,11:50,,,,,0,0
2017-06-20,11:45,,,,,0,0
2017-06-20,11:40,,,,,0,0
2017-06-20,11:35,,,,,0,0
2017-06-20,11:30,,,,,0,0
2017-06-20,11:25,2250.00,2250.00,2250.00,2250.00,200,450000
2017-06-20,11:20,2250.00,2251.00,2240.00,2250.00,2500,5622000
2017-06-20,11:15,2250.00,2250.00,2250.00,2250.00,800,1800000
2017-06-20,11:10,2254.00,2254.00,2250.00,2250.00,500,1126400
2017-06-20,11:05,2252.00,2256.00,2252.00,2254.00,500,1126600
2017-06-20,11:00,2251.00,2251.00,2250.00,2250.00,200,450100
2017-06-20,10:55,2255.00,2255.00,2253.00,2253.00,200,450800
2017-06-20,10:50,2262.00,2263.00,2262.00,2263.00,200,452500
2017-06-20,10:45,2260.00,2260.00,2258.00,2259.00,600,1355700
2017-06-20,10:40,2248.00,2248.00,2248.00,2248.00,200,449600
2017-06-20,10:35,2247.00,2247.00,2246.00,2247.00,300,674000
2017-06-20,10:30,2250.00,2253.00,2245.00,2245.00,600,1350100
2017-06-20,10:25,2236.00,2241.00,2236.00,2240.00,1600,3582300
2017-06-20,10:20,2252.00,2252.00,2160.00,2231.00,9900,21897400
2017-06-20,10:15,,,,,0,0
2017-06-20,10:10,,,,,0,0
2017-06-20,10:05,2260.00,2260.00,2260.00,2260.00,300,678000
2017-06-20,10:00,2253.00,2261.00,2253.00,2260.00,900,2033200
2017-06-20,09:55,2260.00,2260.00,2253.00,2253.00,600,1354000
2017-06-20,09:50,2257.00,2257.00,2257.00,2257.00,200,451400
2017-06-20,09:45,2247.00,2254.00,2244.00,2253.00,900,2023100
2017-06-20,09:40,2268.00,2268.00,2244.00,2247.00,1900,4289500
2017-06-20,09:35,,,,,0,0
2017-06-20,09:30,2268.00,2268.00,2268.00,2268.00,100,226800
2017-06-20,09:25,,,,,0,0
2017-06-20,09:20,,,,,0,0
2017-06-20,09:15,2249.00,2264.00,2246.00,2256.00,1800,4056600
2017-06-20,09:10,2248.00,2248.00,2247.00,2247.00,200,449500
2017-06-20,09:05,2243.00,2246.00,2243.00,2243.00,800,1795400
2017-06-20,09:00,2246.00,2246.00,2238.00,2238.00,1900,4265300
