日付,時刻,始値,高値,安値,終値,出来高,売買代金
2017-06-20,15:00,359.00,359.00,359.00,359.00,700,251300
2017-06-20,14:55,359.00,359.00,359.00,359.00,900,323100
2017-06-20,14:50,358.00,359.00,358.00,359.00,400,143400
2017-06-20,14:45,,,,,0,0
2017-06-20,14:40,359.00,359.00,359.00,359.00,1300,466700
2017-06-20,14:35,,,,,0,0
2017-06-20,14:30,,,,,0,0
2017-06-20,14:25,,,,,0,0
2017-06-20,14:20,,,,,0,0
2017-06-20,14:15,,,,,0,0
2017-06-20,14:10,,,,,0,0
2017-06-20,14:05,359.00,359.00,359.00,359.00,600,215400
2017-06-20,14:00,,,,,0,0
2017-06-20,13:55,,,,,0,0
2017-06-20,13:50,,,,,0,0
2017-06-20,13:45,,,,,0,0
2017-06-20,13:40,357.00,357.00,357.00,357.00,200,71400
2017-06-20,13:35,,,,,0,0
2017-06-20,13:30,,,,,0,0
2017-06-20,13:25,,,,,0,0
2017-06-20,13:20,357.00,357.00,357.00,357.00,100,35700
2017-06-20,13:15,359.00,359.00,359.00,359.00,200,71800
2017-06-20,13:10,,,,,0,0
2017-06-20,13:05,,,,,0,0
2017-06-20,13:00,,,,,0,0
2017-06-20,12:55,357.00,357.00,357.00,357.00,100,35700
2017-06-20,12:50,358.00,358.00,358.00,358.00,400,143200
2017-06-20,12:45,,,,,0,0
2017-06-20,12:40,359.00,359.00,359.00,359.00,1000,359000
2017-06-20,12:35,,,,,0,0
2017-06-20,12:30,358.00,358.00,358.00,358.00,200,71600
2017-06-20,12:25,,,,,0,0
2017-06-20,12:20,,,,,0,0
2017-06-20,12:15,,,,,0,0
2017-06-20,12:10,,,,,0,0
2017-06-20,12:05,,,,,0,0
2017-06-20,12:00,,,,,0,0
2017-06-20,11:55,,,,,0,0
2017-06-20,11:50,,,,,0,0
2017-06-20,11:45,,,,,0,0
2017-06-20,11:40,,,,,0,0
2017-06-20,11:35,,,,,0,0
2017-06-20,11:30,,,,,0,0
2017-06-20,11:25,,,,,0,0
2017-06-20,11:20,,,,,0,0
2017-06-20,11:15,,,,,0,0
2017-06-20,11:10,358.00,358.00,358.00,358.00,100,35800
2017-06-20,11:05,,,,,0,0
2017-06-20,11:00,,,,,0,0
2017-06-20,10:55,,,,,0,0
2017-06-20,10:50,358.00,358.00,358.00,358.00,200,71600
2017-06-20,10:45,357.00,357.00,354.00,356.00,3300,1172300
2017-06-20,10:40,,,,,0,0
2017-06-20,10:35,,,,,0,0
2017-06-20,10:30,,,,,0,0
2017-06-20,10:25,358.00,358.00,358.00,358.00,100,35800
2017-06-20,10:20,357.00,358.00,357.00,358.00,300,107200
2017-06-20,10:15,358.00,358.00,357.00,357.00,400,142900
2017-06-20,10:10,,,,,0,0
2017-06-20,10:05,,,,,0,0
2017-06-20,10:00,357.00,358.00,357.00,358.00,600,214500
2017-06-20,09:55,,,,,0,0
2017-06-20,09:50,,,,,0,0
2017-06-20,09:45,,,,,0,0
2017-06-20,09:40,359.00,359.00,359.00,359.00,100,35900
2017-06-20,09:35,361.00,361.00,353.00,356.00,9000,3198500
2017-06-20,09:30,,,,,0,0
2017-06-20,09:25,,,,,0,0
2017-06-20,09:20,362.00,362.00,362.00,362.00,100,36200
2017-06-20,09:15,,,,,0,0
2017-06-20,09:10,,,,,0,0
2017-06-20,09:05,362.00,362.00,362.00,362.00,400,144800
2017-06-20,09:00,363.00,363.00,363.00,363.00,2600,943800
